time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates
401,500.0,499.74,1918,770048,47,-0.0018846489256247878,-0.21645875248359517,0.0010370679918196401,0.005636683212037497,0.0014899157,0.9747586101293564,0.0005,0.1,0.0548828125,230
410,500.0,499.74,1917,786432,48,0.0025766054168343544,-0.21002912171534263,0.0015119966944439512,0.006033625014265453,0.0010722256,0.9731738157570362,0.0005,0.1,0.0633544921875,235
418,500.0,499.74,1918,802816,49,0.0036821283865720034,-0.21242260139551944,0.0013467274067807012,0.00487245381905268,0.0014852919,0.9781039003282785,0.0005,0.1,0.06197509765625,240
426,500.0,500.0,1918,819200,50,0.007307019550353289,-0.20876647720579058,0.0010860211739782244,0.005473085386074672,0.0015046452,0.9735191166400909,0.0005,0.1,0.0629638671875,245
434,500.0,500.0,1920,835584,51,-0.00048788805725052953,-0.2128709755721502,0.001163846625604492,0.005947185550894574,0.0013116244,0.9718739502131939,0.0005,0.1,0.05821533203125,250
443,500.0,500.0,1922,851968,52,-0.005169767886400223,-0.21010172321111895,0.0012909390125969366,0.00671731785821521,0.0014052786,0.9694510623812675,0.0005,0.1,0.06502685546875,255
450,500.0,500.0,1925,868352,53,0.004234384745359421,-0.20655836762744,0.0016494083030920593,0.005807435439055553,0.0014558622,0.9725508745759726,0.0005,0.1,0.06949462890625,260
458,500.0,500.0,1927,884736,54,0.003779824124649167,-0.20188599711982533,0.0008897588709260162,0.0076005118976581795,0.0010437075,0.9624025970697403,0.0005,0.1,0.0622802734375,265
467,500.0,500.0,1926,901120,55,0.006578363478183746,-0.19854714119574055,0.0012322123636295146,0.007457864900925415,0.0014719081,0.9634535387158394,0.0005,0.1,0.0554931640625,270
476,500.0,500.0,1925,917504,56,0.012481283396482468,-0.20002664476633072,0.001597444376147905,0.006723096618793533,0.0012880266,0.9658325649797916,0.0005,0.1,0.06461181640625,275
484,500.0,500.0,1925,933888,57,-0.0005227194633334875,-0.20226661691558548,0.001228555612215132,0.008253609863413659,0.0013289233,0.9592812843620777,0.0005,0.1,0.05595703125,280
493,500.0,500.0,1925,950272,58,0.006081063766032457,-0.1974085569498129,0.001232825491570111,0.008264536038745973,0.0014414564,0.9575394354760647,0.0005,0.1,0.0538818359375,285
502,500.0,500.0,1925,966656,59,0.0124426931142807,-0.19867928969906642,0.001024010174023715,0.007848619530909673,0.001473187,0.9565537460148335,0.0005,0.1,0.05400390625,290
510,500.0,500.0,1925,983040,60,-0.0008754399023018777,-0.1968891690194141,0.0009262886253964097,0.007924773280262799,0.0013169143,0.9596460238099098,0.0005,0.1,0.05284423828125,295
519,500.0,500.0,1924,999424,61,0.008267681114375591,-0.1937343930476345,0.0012491965790559334,0.00855599588919631,0.0009672706,0.9520099796354771,0.0005,0.1,0.05614013671875,300
527,500.0,500.0,1924,1015808,62,0.003313455730676651,-0.18737262295908294,0.0008340386901181773,0.009527957688351307,0.00074221904,0.9444876611232758,0.0005,0.1,0.05201416015625,305
