time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/learning_rate,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss
269,31,500.0,1883,191.29,507904,0.002084625,0.0005,150,0.006962819956243038,0.07077544750354718,0.089892578125,0.9355129823088646,0.1,-0.3134909751242958,0.0009555245138471946
278,32,500.0,1884,190.31,524288,0.002459581,0.0005,155,0.0035609796177595854,0.08639859620489006,0.0811767578125,0.9225573092699051,0.1,-0.3103697773301974,0.0006713742129250023
286,33,500.0,1887,185.88,540672,0.0019052441,0.0005,160,-0.0008443836122751236,0.12129263184324372,0.08028564453125,0.9129296243190765,0.1,-0.2916283662663773,0.0010791381044327863
294,34,500.0,1889,185.18,557056,0.0022720064,0.0005,165,0.007824419997632504,0.1809536824875977,0.07440185546875,0.9039453268051147,0.1,-0.27974394407356157,0.001077828350571508
303,35,500.0,1890,188.79,573440,0.0030913819,0.0005,170,0.016631100326776505,0.20187040362070546,0.08350830078125,0.8843815550208092,0.1,-0.26602355116046966,0.0016740528065383841
311,36,500.0,1893,190.36,589824,0.001953378,0.0005,175,0.013463832437992096,0.21415463419252773,0.07572021484375,0.881491057574749,0.1,-0.25804508354049177,0.0019029553949621914
319,37,500.0,1896,187.82,606208,0.0012490004,0.0005,180,0.023183101788163185,0.3297980157789425,0.0691650390625,0.8531987816095352,0.1,-0.27433559877099467,0.0013293220562900388
327,38,500.0,1898,186.18,622592,0.0016279893,0.0005,185,0.1403917819261551,0.4297596470758435,0.07574462890625,0.8327948898077011,0.1,-0.28510468926979227,0.0015162362385126471
336,39,500.0,1900,186.94,638976,0.0017423885,0.0005,190,0.024669354781508446,0.40420761477580525,0.08101806640625,0.8470011949539185,0.1,-0.276646503189113,0.0014970750644351938
344,40,500.0,1900,189.05,655360,0.0018557772,0.0005,195,0.042033545672893524,0.48930308556155067,0.0743408203125,0.8540638387203217,0.1,-0.2837326661334373,0.0007634428648998437
354,41,500.0,1896,189.18,671744,0.0013962823,0.0005,200,0.06251857429742813,0.4742546106506779,0.0608642578125,0.8457345813512802,0.1,-0.29022230562986806,0.0011515700660766014
363,42,500.0,1893,185.35,688128,0.0019974527,0.0005,205,0.08808371424674988,0.5533428190894483,0.07686767578125,0.8373266011476517,0.1,-0.29187628836371005,0.0015164688421918982
372,43,500.0,1890,183.88,704512,0.0014449141,0.0005,210,0.14717814326286316,0.6909845760892495,0.07191162109375,0.8232429772615433,0.1,-0.28582796921255066,0.0014949352897019707
