time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction
278528,500.0,20.96,139,17,1989,0.0012143597266913275,0.7874453070544405,-0.2492086625075899,0.9164716079831123,80,0.012112202122807503,0.1,0.0005,0.004061088,0.1141845703125
294912,500.0,20.97,147,18,1994,0.0016972994261777786,0.9581842431201949,-0.21690964394365436,0.9200451895594597,85,0.01229870691895485,0.1,0.0005,0.0034377654,0.104443359375
311296,500.0,21.06,155,19,1999,0.0025376375081577864,1.1764346130032208,-0.21749675602186472,0.9077065736055374,90,0.06135697662830353,0.1,0.0005,0.0040571503,0.09766845703125
327680,500.0,21.09,163,20,2003,0.0036636908884247533,0.9809402816055808,-0.21886445035925134,0.8790231198072433,95,0.15295159816741943,0.1,0.0005,0.005573199,0.12491455078125
344064,500.0,20.84,171,21,2008,0.0021091654381507397,1.1932346685964148,-0.21268475198885425,0.8965075090527534,100,0.010065347887575626,0.1,0.0005,0.0045942673,0.0983154296875
360448,500.0,20.8,179,22,2012,0.002141796848127342,1.293441155544133,-0.21264000314404258,0.9034910947084427,105,0.1880258321762085,0.1,0.0005,0.0039756093,0.10279541015625
376832,500.0,20.33,186,23,2016,0.003074907654627168,0.6449187921622069,-0.19136258339276538,0.9447141252458096,110,0.3334345817565918,0.1,0.0005,0.006861903,0.10653076171875
393216,500.0,20.43,194,24,2018,0.002675287722104258,1.360654464358231,-0.1896432465116959,0.8974345698952675,115,0.06233210489153862,0.1,0.0005,0.006461112,0.0955322265625
409600,500.0,19.81,202,25,2023,0.0045703410674832416,1.1249735554898508,-0.2049698943970725,0.9291414991021156,120,0.058238685131073,0.1,0.0005,0.004925311,0.1012939453125
425984,500.0,19.55,210,26,2025,0.0026090738071616213,1.0564117305752005,-0.1945292455435265,0.931956559419632,125,0.07743585854768753,0.1,0.0005,0.007341712,0.11650390625
442368,500.0,19.32,217,27,2029,0.0023069108321578822,1.001983255772211,-0.19178026556037367,0.9358788654208183,130,0.14326590299606323,0.1,0.0005,0.0052149817,0.1051513671875
458752,500.0,19.48,225,28,2031,0.0007744336529412976,0.9205124395128224,-0.1837424253579229,0.9408437870442867,135,0.07801260054111481,0.1,0.0005,0.005441348,0.1179443359375
475136,500.0,19.08,233,29,2033,0.0040082135108605145,0.6022900233743712,-0.1774541207298171,0.9307537823915482,140,0.09778082370758057,0.1,0.0005,0.004939066,0.105712890625
491520,500.0,18.13,242,30,2028,0.0022593412726564567,0.5454319609634695,-0.15910041476017794,0.9483288563787937,145,0.09163960814476013,0.1,0.0005,0.003252183,0.0826171875
507904,500.0,17.71,250,31,2031,0.0035078811085440973,1.0630867667889106,-0.1612325054447865,0.921947255730629,150,0.012864295393228531,0.1,0.0005,0.005994155,0.09906005859375
524288,500.0,17.39,257,32,2032,0.00290193406817707,1.1665119379584212,-0.1372781771409791,0.923690140247345,155,0.047676172107458115,0.1,0.0005,0.003070103,0.089892578125
540672,500.0,17.39,266,33,2032,0.0035296871162245223,1.037112791412801,-0.13195764350530226,0.9088611379265785,160,0.15774717926979065,0.1,0.0005,0.005466045,0.09306640625
557056,500.0,17.06,274,34,2030,0.004159595248347614,0.7203120560894604,-0.12480578527611215,0.9232248067855835,165,0.057633109390735626,0.1,0.0005,0.0061285393,0.0894775390625
573440,500.0,16.76,282,35,2033,0.003894394769486098,0.896135741090984,-0.138565416666097,0.9374707788228989,170,0.04805435240268707,0.1,0.0005,0.0045593297,0.0833740234375
589824,500.0,16.44,289,36,2035,0.003422608021628548,0.4153172409744002,-0.12083089665393346,0.955960713326931,175,0.04004533961415291,0.1,0.0005,0.006863612,0.080517578125
606208,500.0,16.35,299,37,2026,0.0024135974698765495,0.8365656031877734,-0.11594030815758742,0.9372135177254677,180,0.1446368396282196,0.1,0.0005,0.0033015753,0.0653564453125
622592,500.0,16.58,309,38,2013,0.002042071439700521,1.1050859929498984,-0.12091902835527435,0.9380006343126297,185,0.1341697871685028,0.1,0.0005,0.0047685164,0.06287841796875
638976,500.0,16.7,318,39,2005,0.0028782450412563774,1.451786960096797,-0.10419654836587142,0.8304399996995926,190,0.03805425018072128,0.1,0.0005,0.0062092277,0.06114501953125
655360,500.0,16.82,329,40,1988,0.003525659214028565,0.9726796106639085,-0.12658091910125222,0.9346733465790749,195,-0.0020006676204502583,0.1,0.0005,0.0043076496,0.0845947265625
671744,500.0,16.63,340,41,1973,0.003977803939051228,0.9771590789838228,-0.12245144164626254,0.9414630047976971,200,0.3288746476173401,0.1,0.0005,0.0105872415,0.07353515625
688128,500.0,16.66,350,42,1961,0.0028248850642739855,1.297551459216629,-0.11526306786108761,0.9287425950169563,205,0.05850323662161827,0.1,0.0005,0.0024355536,0.05238037109375
704512,500.0,16.21,361,43,1951,0.002552432500215218,1.6896713757989346,-0.125228175506345,0.9168399646878242,210,0.1050412729382515,0.1,0.0005,0.0026133142,0.0566162109375
