time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss
14,159.76,500.0,120,1908,229376,0.0005,3.6594295735936613,-0.5178266108967364,0.9951365049928427,0.0058083646,65,0.1,0.20345458984375,0.20555177330970764,-0.003516420054620539
15,173.54,500.0,128,1911,245760,0.0005,3.579479782283306,-0.497679258370772,0.9943362986668944,0.0043628104,70,0.1,0.19119873046875,0.26610052585601807,-0.0017657611403592455
16,183.21,500.0,137,1902,262144,0.0005,2.3141500834142787,-0.49599654050543907,0.9967202234547585,0.004753615,75,0.1,0.18546142578125,0.12188811600208282,-0.0013045507757851738
17,199.28,500.0,146,1896,278528,0.0005,1.97889876679983,-0.47610930951777847,0.9966292947065085,0.004129055,80,0.1,0.185205078125,0.16143476963043213,-0.0008762836620007875
18,209.55,500.0,155,1896,294912,0.0005,1.8192183749633841,-0.47058580867014826,0.9965972930658609,0.003524087,85,0.1,0.1621826171875,0.054439984261989594,-3.038624345208518e-06
19,212.32,500.0,164,1897,311296,0.0005,1.2025568854412996,-0.4706864933250472,0.9979114115703851,0.0035742703,90,0.1,0.16187744140625,0.043560534715652466,0.0021568181696238753
20,214.73,500.0,172,1895,327680,0.0005,1.758308141794987,-0.45947682978585364,0.996710809180513,0.0034836926,95,0.1,0.15374755859375,0.1665741503238678,0.0005670842471772631
21,217.77,500.0,182,1889,344064,0.0005,1.3392723924247547,-0.45625458462163804,0.9966819020919502,0.003820477,100,0.1,0.1754150390625,0.2981710135936737,0.0003050304809221416
22,228.83,500.0,191,1884,360448,0.0005,0.9742208848707378,-0.42402797965332867,0.9972204547375441,0.0042357086,105,0.1,0.14765625,0.1608773022890091,0.001260500565149414
23,243.14,500.0,199,1886,376832,0.0005,0.8060666381497867,-0.4154075614642352,0.9980121869593859,0.003452435,110,0.1,0.13641357421875,0.0907345563173294,0.0012274835809876095
24,257.73,500.0,208,1884,393216,0.0005,0.665981197549263,-0.40156656722538175,0.998258997569792,0.002898469,115,0.1,0.13438720703125,0.019450686872005463,0.00026179990218224705
25,266.58,500.0,217,1881,409600,0.0005,1.3579352024709805,-0.38489929349161683,0.9970162864774466,0.0036070314,120,0.1,0.1193359375,0.007691460661590099,0.0003846086146040761
26,265.42,500.0,226,1883,425984,0.0005,1.3541686512180604,-0.3763760222354904,0.9973355834372342,0.0030611353,125,0.1,0.12850341796875,0.1323365569114685,0.0005710418471608136
27,267.84,500.0,234,1886,442368,0.0005,1.7393660616129636,-0.3760414318181574,0.9961294061504304,0.0025099046,130,0.1,0.11419677734375,0.23538005352020264,0.001624276995607943
28,255.67,500.0,243,1885,458752,0.0005,1.3880774531309725,-0.36604678572621197,0.9969447997864336,0.0026106858,135,0.1,0.1097900390625,0.0887361541390419,0.0021946254404610955
29,254.36,500.0,251,1889,475136,0.0005,1.1765758089808513,-0.3778063848614693,0.9974162788130343,0.0034083866,140,0.1,0.134716796875,0.06562142819166183,0.0019626877711289127
30,243.83,500.0,260,1888,491520,0.0005,1.162953502050368,-0.37944956459105017,0.9973186650313437,0.0048493175,145,0.1,0.14053955078125,0.03821883350610733,0.004219159183776355
31,238.23,500.0,268,1888,507904,0.0005,1.4824771008861717,-0.3672713479958475,0.9964803426992148,0.0036380966,150,0.1,0.1267578125,0.17226123809814453,0.0032217943632531386
32,249.77,500.0,278,1884,524288,0.0005,1.5570160965027753,-0.3651598207885399,0.9969020280987024,0.0043795817,155,0.1,0.1549560546875,0.1966126263141632,0.0018444906560034723
33,248.83,500.0,286,1884,540672,0.0005,1.6375706961000105,-0.3372350099380128,0.9962816494517028,0.003784425,160,0.1,0.12073974609375,0.5213307738304138,0.0025898910285832243
34,262.96,500.0,296,1880,557056,0.0005,1.2205123821273447,-0.34404166471213105,0.9972166970837861,0.0035966933,165,0.1,0.1248291015625,0.14512018859386444,0.003058991190209781
