time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
14,112,19.8,229376,2045,500.0,65,0.0005339411211025436,0.1,-0.343367053498514,0.9965969088952988,8.195944269979373,0.06290283203125,0.12940768897533417,0.0014715549,0.0005
15,120,19.11,245760,2041,500.0,70,0.00013885412572562928,0.1,-0.3363105277530849,0.9978950801305473,5.1290598683524875,0.0700927734375,0.29373475909233093,0.0035003598,0.0005
16,128,18.07,262144,2039,500.0,75,0.0013252820375782904,0.1,-0.31793913602596147,0.9989818767644465,4.132906335080042,0.063330078125,0.23131853342056274,0.0017070833,0.0005
17,136,16.54,278528,2036,500.0,80,-0.0004962204859111808,0.1,-0.30109865630511196,0.9989149161847308,3.964668772206642,0.08695068359375,0.20818014442920685,0.0027753594,0.0005
18,144,15.31,294912,2034,500.0,85,0.0019477309648209483,0.1,-0.29907365709077566,0.9993182094185613,3.230458996538073,0.0625244140625,0.29053252935409546,0.003013967,0.0005
19,153,14.63,311296,2031,500.0,90,0.0015275232875865187,0.1,-0.29522526104701685,0.9992513526813127,3.7511984458891674,0.05985107421875,0.1822020411491394,0.0033595366,0.0005
20,161,14.24,327680,2028,500.0,95,0.0004259970308339689,0.1,-0.294646207022015,0.999483612831682,3.911150616314262,0.0585693359375,0.20159830152988434,0.0012133303,0.0005
21,169,13.57,344064,2026,500.0,100,-0.0004923573616906652,0.1,-0.2787176389247179,0.9997146179084666,3.0660501264734195,0.04686279296875,0.05721019208431244,0.0013325908,0.0005
22,178,13.01,360448,2024,500.0,105,9.277593198930845e-05,0.1,-0.26445582109736276,0.9995817646558862,3.702928736642934,0.0583984375,0.29818692803382874,0.0024121515,0.0005
23,187,12.46,376832,2010,500.0,110,-0.0009493646907685616,0.1,-0.27427542756777257,0.9998096549243201,1.9878786536864936,0.05518798828125,0.2828455865383148,0.0013255486,0.0005
24,195,12.35,393216,2009,500.0,115,0.0015747741015729843,0.1,-0.2656552353524603,0.9998820973924012,2.91115872473456,0.05484619140625,0.14941878616809845,0.0014500769,0.0005
25,203,12.16,409600,2009,500.0,120,0.0028705708553388833,0.1,-0.25316098890034483,0.999869835053687,2.6930618303827942,0.07509765625,0.10805270075798035,0.0060622273,0.0005
26,212,12.09,425984,2006,500.0,125,0.0023053171233186733,0.1,-0.27315467630978674,0.9999064098010422,4.1171168247354215,0.08651123046875,0.13088443875312805,0.002765391,0.0005
27,221,11.96,442368,1995,500.0,130,0.001933225011725881,0.1,-0.279717156465631,0.9999006414509495,2.3232838066294788,0.059423828125,0.18243920803070068,0.003944043,0.0005
28,230,11.8,458752,1990,500.0,135,0.0019586442667787196,0.1,-0.29841307100141423,0.9998641800775658,2.806154328084085,0.07314453125,0.04503032565116882,0.007216451,0.0005
29,239,11.58,475136,1983,500.0,140,0.0059234369195110045,0.1,-0.30221141649526545,0.999890766266617,2.8716679114382715,0.10787353515625,0.11043223738670349,0.0018135747,0.0005
30,248,11.48,491520,1980,500.0,145,0.0033846421993075637,0.1,-0.324128040089272,0.999788452332723,3.5991141283186154,0.08023681640625,0.1035006120800972,0.006086937,0.0005
31,256,11.47,507904,1978,500.0,150,0.004375380881901947,0.1,-0.31726225800812247,0.9997918401058996,2.9646857393789103,0.08546142578125,0.34338533878326416,0.00162066,0.0005
32,265,11.35,524288,1977,500.0,155,0.0014393827948879334,0.1,-0.3394401895813644,0.9995113772456534,3.1279448882211,0.078857421875,0.04795471578836441,0.0022957614,0.0005
33,273,11.44,540672,1975,500.0,160,0.001658960163786105,0.1,-0.3663154166773893,0.9991298675886355,3.2137094062520193,0.16778564453125,0.1740795373916626,0.006452213,0.0005
34,282,11.34,557056,1974,500.0,165,-0.003010770384753414,0.1,-0.3451877131825313,0.9998113463370828,2.858364617615007,0.12293701171875,0.48085352778434753,0.012309606,0.0005
