time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/loss,train/n_updates,train/clip_fraction
212992,37.91,13,500.0,2193,97,-0.004943378216921701,0.0029663993,0.1,0.0005,442.9597484394908,-0.6708773187361657,0.9678606353700161,78.24333953857422,60,0.1552978515625
229376,40.61,14,500.0,2183,105,-0.009539485863570007,0.004079262,0.1,0.0005,81.8417084686458,-0.660787838511169,0.9879264552146196,7.740009307861328,65,0.25191650390625
245760,43.41,15,500.0,2171,113,-0.012694597016525222,0.0047067464,0.1,0.0005,13.847171947732567,-0.6466535739600658,0.9956080326810479,1.1409623622894287,70,0.2450439453125
262144,47.36,16,500.0,2163,121,-0.010029325949290069,0.0047922297,0.1,0.0005,11.071392100676894,-0.6328060474712401,0.9969805579166859,1.0099763870239258,75,0.22947998046875
278528,56.31,17,500.0,2156,129,-0.008576551639998797,0.004180774,0.1,0.0005,6.118939196318388,-0.6255838095210493,0.9965408171992749,0.5712271928787231,80,0.20355224609375
294912,67.26,18,500.0,2140,137,-0.005629081751794729,0.004273298,0.1,0.0005,5.7148240499198435,-0.6127424703445286,0.9954393012449145,0.658618688583374,85,0.16624755859375
311296,76.52,19,500.0,2132,145,-0.005172784820570086,0.0035635051,0.1,0.0005,5.562620719149709,-0.5990725971292704,0.9956124061718583,0.6021832823753357,90,0.14896240234375
327680,83.75,20,500.0,2126,154,-0.00402843035190017,0.004577119,0.1,0.0005,4.365157300885767,-0.5915972002781927,0.9960415842942894,0.5486259460449219,95,0.1706787109375
344064,92.7,21,500.0,2119,162,-0.003697880870277004,0.004148442,0.1,0.0005,3.251067954860628,-0.5841421179473401,0.9964211219921708,0.21556732058525085,100,0.18302001953125
360448,104.79,22,500.0,2115,170,-0.004343932861229405,0.004798677,0.1,0.0005,2.6086620746180413,-0.5798811128828675,0.9967496937606484,0.3678126335144043,105,0.17396240234375
376832,112.79,23,500.0,2106,178,-0.004859900378323801,0.003957657,0.1,0.0005,2.514403806487098,-0.570423861918971,0.9974617077969015,0.21128420531749725,110,0.20172119140625
393216,124.39,24,500.0,2103,186,-0.00405858150934364,0.0038241495,0.1,0.0005,2.2360832613427193,-0.5646158547140658,0.9975877567194402,0.26307758688926697,115,0.2146484375
409600,137.2,25,500.0,2100,194,-0.004651817416834092,0.0045388564,0.1,0.0005,1.8216920213308185,-0.5647039471659809,0.9976994087919593,0.21350446343421936,120,0.25142822265625
425984,163.73,26,500.0,2094,203,-0.00502092097831337,0.0063712155,0.1,0.0005,1.6784307307330892,-0.5690641341730952,0.997420520754531,0.14381159842014313,125,0.26728515625
442368,192.79,27,500.0,2090,211,-0.004546558989204641,0.00470536,0.1,0.0005,1.5201663076411933,-0.554228400462307,0.998023213353008,0.18733397126197815,130,0.24833984375
458752,221.17,28,500.0,2086,219,-0.004846225037363183,0.0045697168,0.1,0.0005,1.6691826041555031,-0.5417510580969974,0.99835499888286,0.12423297017812729,135,0.20382080078125
475136,244.58,29,500.0,2083,228,-0.004008530655119103,0.0046332586,0.1,0.0005,1.09730581168551,-0.5437853774055839,0.99854200927075,0.08962235599756241,140,0.23052978515625
491520,264.08,30,500.0,2077,236,-0.003367496714963636,0.005146108,0.1,0.0005,1.1799061738769523,-0.5281421057181432,0.9983580341795459,0.1395094096660614,145,0.24886474609375
507904,287.12,31,500.0,2074,244,-0.004026087245529197,0.0054586614,0.1,0.0005,1.1230464978842065,-0.509185158344917,0.9984803511761129,0.20797957479953766,150,0.232861328125
