time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/clip_range
229376,198.78,107,500.0,14,2134,0.0005,0.9925197283737361,-0.013543922633471085,65,0.006715101,-0.5787793190218509,0.13833698630332947,2.148153133643791,0.34384765625,0.1
245760,269.49,115,500.0,15,2134,0.0005,0.9917820580303669,-0.014828647005379026,70,0.007759311,-0.5529084968147799,0.23652133345603943,1.5510232688626275,0.36468505859375,0.1
262144,368.9,122,500.0,16,2135,0.0005,0.9810402262955904,-0.010385315803432604,75,0.0062223254,-0.48604204747825863,0.006604925729334354,0.27249987054092345,0.23773193359375,0.1
278528,460.39,130,500.0,17,2134,0.0005,0.978707691654563,-0.008145984530165152,80,0.0060101016,-0.44746834409888836,0.01820974424481392,0.067748911822855,0.18870849609375,0.1
294912,499.39,138,500.0,18,2132,0.0005,0.9872116483747959,-0.005945001123836846,85,0.0041687703,-0.4226518152980134,0.00679394043982029,0.03961952002646285,0.13922119140625,0.1
311296,499.94,145,500.0,19,2132,0.0005,0.9879552507773042,-0.004730356699110416,90,0.0036352584,-0.40517074938397857,0.0008107214234769344,0.03303071827212989,0.12218017578125,0.1
327680,500.0,154,500.0,20,2118,0.0005,0.9888925282284617,-0.003052451122857747,95,0.0030024447,-0.38692335339728745,-0.003031317610293627,0.03040066566463793,0.09747314453125,0.1
344064,500.0,162,500.0,21,2110,0.0005,0.9913467122241855,-0.0031090550457520292,100,0.0034779266,-0.36209553983062504,-0.003531071823090315,0.023462328592358972,0.09459228515625,0.1
360448,500.0,170,500.0,22,2111,0.0005,0.9899146733805537,-0.0013482097996529775,105,0.0026018964,-0.33938845578813925,-0.0019052752759307623,0.02744599881607428,0.0828125,0.1
376832,500.0,178,500.0,23,2113,0.0005,0.9917273307219148,-0.002344700255434873,110,0.0031155865,-0.31440858164569363,0.005460426211357117,0.022355993049677635,0.0909423828125,0.1
393216,500.0,186,500.0,24,2113,0.0005,0.9896052703261375,-0.0012200184019093285,115,0.0023989258,-0.2990064013400115,0.0007030561100691557,0.02398025238635455,0.07467041015625,0.1
409600,500.0,193,500.0,25,2112,0.0005,0.9926013071089983,-0.0008276627897430445,120,0.0021754215,-0.2690753251197748,0.006314567290246487,0.01748825310914981,0.06971435546875,0.1
425984,500.0,201,500.0,26,2109,0.0005,0.9923104071058333,-0.0008874411330907605,125,0.0022393048,-0.25434711610432714,0.0002739100018516183,0.02019491968967486,0.07371826171875,0.1
442368,500.0,209,500.0,27,2107,0.0005,0.9931074366904795,-0.00040394646312051917,130,0.0018524971,-0.23384586524916812,-0.003040711861103773,0.01655211921060982,0.0736328125,0.1
458752,500.0,217,500.0,28,2107,0.0005,0.9936796724796295,-0.0007326745359023335,135,0.0022765216,-0.2282367612584494,-0.0003459847066551447,0.01708518918858317,0.0750244140625,0.1
475136,500.0,225,500.0,29,2105,0.0005,0.9943383769132197,3.008451549249003e-05,140,0.0018521842,-0.22743201153934933,-0.0022895836737006903,0.015267296236561378,0.0718994140625,0.1
491520,500.0,233,500.0,30,2100,0.0005,0.9946895497851074,0.00023707858299530925,145,0.001771333,-0.22193196453154088,-0.0029472208116203547,0.014214691746565223,0.08045654296875,0.1
507904,500.0,241,500.0,31,2101,0.0005,0.9947109203785658,-0.00011527501746968482,150,0.0014985492,-0.22225468303076923,-0.00782839022576809,0.01346349918985652,0.07098388671875,0.1
524288,500.0,249,500.0,32,2101,0.0005,0.9936594231985509,0.00021079711823404068,155,0.0015441321,-0.22345326354261488,-0.010505023412406445,0.01527533736116311,0.06287841796875,0.1
540672,500.0,257,500.0,33,2102,0.0005,0.993547516874969,0.0006198645597578434,160,0.0015802801,-0.21054015370318666,-0.002139143645763397,0.019094278908596607,0.0623291015625,0.1
557056,500.0,265,500.0,34,2099,0.0005,0.993303048890084,0.0004999218997909338,165,0.0015073987,-0.21996492038597354,0.00012484905892051756,0.016448089473215077,0.069775390625,0.1
573440,500.0,272,500.0,35,2100,0.0005,0.9933994300663471,0.0010678750048100482,170,0.0015566397,-0.2128142531553749,0.000875202938914299,0.01649468164141581,0.07669677734375,0.1
589824,500.0,280,500.0,36,2101,0.0005,0.9950437238439918,0.0005967558937300055,175,0.001481468,-0.21311488779028878,0.0034071258269250393,0.013034954677186761,0.066162109375,0.1
606208,500.0,288,500.0,37,2099,0.0005,0.9950360078364611,0.000786442519074626,180,0.0018839573,-0.20863039799151012,0.001405406859703362,0.012756795783116105,0.076513671875,0.1
622592,500.0,296,500.0,38,2101,0.0005,0.994306125678122,0.000661897717964166,185,0.0018786523,-0.20777907068259083,0.00030633353162556887,0.014629537787732261,0.06806640625,0.1
638976,500.0,303,500.0,39,2103,0.0005,0.9927917905151844,0.0009566956336129806,190,0.0016695361,-0.21451737228198908,-0.00285330880433321,0.016036838955369604,0.07310791015625,0.1
655360,500.0,311,500.0,40,2104,0.0005,0.9947406640276313,-5.263209559416282e-05,195,0.0019741117,-0.21426220337161794,-0.0005255272844806314,0.01468910062840223,0.08375244140625,0.1
671744,500.0,319,500.0,41,2104,0.0005,0.9949385840445757,0.0005387959639847395,200,0.0016100542,-0.20537319479044527,0.004322962835431099,0.01387538176149974,0.07470703125,0.1
688128,500.0,327,500.0,42,2100,0.0005,0.9952026749961078,0.0008455354942270788,205,0.0013475303,-0.2078162441670429,0.013630594126880169,0.014706879099503568,0.0735595703125,0.1
704512,500.0,335,500.0,43,2099,0.0005,0.9938874505460262,0.0009879003700461908,210,0.001187461,-0.21242813157150522,0.0018259817734360695,0.016530525533471518,0.06922607421875,0.1
