time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/n_updates
147,21,344064,500.0,2331,475.52,0.0034849104,0.9976892089471221,0.1,-0.4188059098785743,0.08761243522167206,0.5825371824059402,0.1332275390625,-0.001510708536625316,0.0005,100
154,22,360448,500.0,2338,482.46,0.0026025893,0.9968476572539657,0.1,-0.38259236300364136,0.014713042415678501,0.4838167599897133,0.11207275390625,-0.0013663918469319469,0.0005,105
160,23,376832,500.0,2343,492.79,0.0030957456,0.9946592734195292,0.1,-0.3341292365454137,-0.0036889538168907166,0.09920351004475378,0.114990234375,-0.004063133735689917,0.0005,110
167,24,393216,500.0,2351,497.83,0.0047928607,0.9983055712655187,0.1,-0.32654292370425536,0.005593976005911827,0.11718049459668692,0.13841552734375,-0.0027759491204960795,0.0005,115
173,25,409600,500.0,2355,497.83,0.0028915617,0.9951920253224671,0.1,-0.27863690692465753,0.0033309045247733593,0.07927604016149417,0.09898681640625,-0.0027246735814514976,0.0005,120
180,26,425984,500.0,2361,499.28,0.0015956585,0.9933992587029934,0.1,-0.2711707226349972,0.004550992511212826,0.07881395571785106,0.0732421875,-0.0018362696923759358,0.0005,125
187,27,442368,500.0,2365,500.0,0.0015018128,0.9954160009510815,0.1,-0.2542003390612081,0.012293590232729912,0.07108030433300883,0.0746337890625,-0.0011139933372760424,0.0005,130
195,28,458752,500.0,2352,500.0,0.0017379345,0.9938316438347101,0.1,-0.23954574801027775,0.0012385696172714233,0.07471052635846717,0.07109375,-0.0004974314781065914,0.0005,135
202,29,475136,500.0,2341,500.0,0.0015845206,0.9958180794492364,0.1,-0.23998650113353506,0.012309057638049126,0.08148511182298535,0.076123046875,6.869189082863159e-05,0.0005,140
210,30,491520,500.0,2334,500.0,0.0015627948,0.995924549177289,0.1,-0.23872255228925496,0.001768732094205916,0.0705366742786282,0.07169189453125,0.00020622691645257873,0.0005,145
217,31,507904,500.0,2339,500.0,0.0014921026,0.9963051781523973,0.1,-0.23272342851851135,0.005648767109960318,0.07184051588119474,0.0580078125,0.0009674385004473151,0.0005,150
