time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss
393216,2476,158,500.0,500.0,24,0.0036341092,0.0005,0.1,-0.2753180139232427,0.9912274898961186,0.09254150390625,-0.0005482399104948854,115,0.3163460915064206,0.03934263437986374
409600,2474,165,500.0,500.0,25,0.0020918425,0.0005,0.1,-0.2682141691213474,0.9904924677684903,0.07884521484375,-0.0008955399396654684,120,0.3481947253254475,0.02991734817624092
425984,2473,172,500.0,500.0,26,0.0021682424,0.0005,0.1,-0.25006799183320255,0.9906774265691638,0.07908935546875,-0.00037908130943833387,125,0.34036210947087964,0.006439970340579748
442368,2469,179,500.0,500.0,27,0.0021793363,0.0005,0.1,-0.2509372223517857,0.991716873832047,0.08148193359375,-0.0002916134302722639,130,0.31341564203903544,0.06873008608818054
458752,2467,185,500.0,500.0,28,0.0016671568,0.0005,0.1,-0.23594853596296161,0.9919381020590663,0.070068359375,0.0001261298571989755,135,0.29015194671374045,0.001868190709501505
475136,2465,192,500.0,500.0,29,0.0016748224,0.0005,0.1,-0.2382443191483617,0.9922227757051587,0.06888427734375,0.00032644364600855626,140,0.27783712604723404,0.014931760728359222
491520,2463,199,500.0,500.0,30,0.00091491407,0.0005,0.1,-0.23265644643688574,0.9923662906512618,0.0619873046875,0.0008887113051969208,145,0.2929873285553185,0.011256414465606213
507904,2459,206,500.0,500.0,31,0.001167004,0.0005,0.1,-0.23122233293834143,0.9923543622717261,0.06778564453125,0.0007477627817024767,150,0.2873932191519998,0.030378686264157295
524288,2457,213,500.0,500.0,32,0.0016039057,0.0005,0.1,-0.22644728338345885,0.9921494498848915,0.067724609375,0.0005979719692732032,155,0.28677543759258695,0.022838901728391647
540672,2457,219,500.0,500.0,33,0.0017101546,0.0005,0.1,-0.2262209442735184,0.9915058137848973,0.07113037109375,0.0006587613767806034,160,0.341595945120207,0.01932869851589203
557056,2457,226,500.0,500.0,34,0.0012198212,0.0005,0.1,-0.21688609551056287,0.9927570535801351,0.0659423828125,0.00068025443388251,165,0.28413173155713595,0.01229887269437313
