time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl
2399,157,376832,462.25,500.0,23,-0.4162357953842729,0.0005,0.15396728515625,0.036650151014328,-0.003995214035603567,0.1,0.5430801782233174,110,0.9952074587345123,0.0034276408
2395,164,393216,493.0,500.0,24,-0.366913457470946,0.0005,0.11981201171875,0.05994102731347084,-0.003644675117539009,0.1,0.295375161911943,115,0.9962050395552069,0.0033973511
2385,171,409600,500.0,500.0,25,-0.3603912984021008,0.0005,0.1162841796875,0.05026677995920181,-0.0029096400590788106,0.1,0.4022622305579716,120,0.9957359973341227,0.0028880844
2383,178,425984,500.0,500.0,26,-0.33439868384739385,0.0005,0.11031494140625,0.009246138855814934,-0.001403133634084952,0.1,0.36589004328416197,125,0.9950706586241722,0.003003045
2381,185,442368,500.0,500.0,27,-0.31430181821342557,0.0005,0.1346923828125,0.033153265714645386,-0.0022246350745717793,0.1,0.3890366403677035,130,0.9946077596396208,0.003543467
2380,192,458752,500.0,500.0,28,-0.2840071314247325,0.0005,0.106640625,0.000793767161667347,-0.000965979675129347,0.1,0.32710629849461836,135,0.9952996619977057,0.0030372608
2362,201,475136,500.0,500.0,29,-0.26511377941351383,0.0005,0.10599365234375,0.018954342231154442,-0.0009395610331921489,0.1,0.2949446136248298,140,0.9961907679680735,0.0033206623
2347,209,491520,500.0,500.0,30,-0.2540738646523096,0.0005,0.09193115234375,-0.004321211948990822,-0.00019683812115545152,0.1,0.24666677741333842,145,0.9968410548754036,0.0019815555
2336,217,507904,500.0,500.0,31,-0.24186024577356874,0.0005,0.09432373046875,0.007291534915566444,-0.0006080710340029327,0.1,0.28896754154993687,150,0.996202745474875,0.002503639
2331,224,524288,500.0,500.0,32,-0.2346172748482786,0.0005,0.10107421875,0.030822938308119774,-7.133866147341905e-05,0.1,0.31034725128702123,155,0.9957826128229499,0.0023435145
2330,232,540672,500.0,500.0,33,-0.224517593649216,0.0005,0.09110107421875,0.00654661376029253,0.00010534750281294691,0.1,0.3385473992791958,160,0.9959840369410813,0.0020385932
2328,239,557056,500.0,500.0,34,-0.21796312209335156,0.0005,0.0815673828125,0.006187183782458305,-0.00016230548644671216,0.1,0.24926452321378748,165,0.9965075333602726,0.0019515574
2329,246,573440,500.0,500.0,35,-0.22220165755716154,0.0005,0.09010009765625,0.04055134207010269,0.0001735832026497519,0.1,0.29780276014644186,170,0.9956529713235795,0.0017787719
2329,253,589824,500.0,500.0,36,-0.22175748546142132,0.0005,0.09482421875,0.003929362166672945,0.00024027768672567617,0.1,0.3333729276928352,175,0.9950246643275023,0.0027798545
2329,260,606208,500.0,500.0,37,-0.21783744749263861,0.0005,0.1002685546875,0.055311255156993866,-3.2661560089763954e-05,0.1,0.29678087010688614,180,0.9959762333892286,0.0033946212
2328,267,622592,500.0,500.0,38,-0.21049371969420463,0.0005,0.0846435546875,0.008510679937899113,0.0011000004899869964,0.1,0.24262364186142804,185,0.9962941939011216,0.0023251993
2325,274,638976,500.0,500.0,39,-0.2114071661606431,0.0005,0.07216796875,0.01988280564546585,0.00041235784510718076,0.1,0.2317229873224278,190,0.9964924529194832,0.001640778
2326,281,655360,500.0,500.0,40,-0.20355813283240423,0.0005,0.0878662109375,0.012799466028809547,0.0009084655645892781,0.1,0.2504668673733249,195,0.9964827240910381,0.002187149
2325,288,671744,500.0,500.0,41,-0.20915091244969516,0.0005,0.07818603515625,0.027005700394511223,0.0008909543847948953,0.1,0.2171749761197134,200,0.9968827702105045,0.0018734675
2322,296,688128,500.0,500.0,42,-0.19983898471691647,0.0005,0.0778564453125,0.055081576108932495,0.001097831663901161,0.1,0.2142457679772633,205,0.996910123154521,0.0016589216
2320,303,704512,500.0,500.0,43,-0.1988477420352865,0.0005,0.07486572265625,0.01487656868994236,0.0010739100011051051,0.1,0.28393785501102686,210,0.9962928937748075,0.002231514
