time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss
154,2011,500.0,19,311296,176.38,0.1783935546875,0.8951001986861229,-0.0016533486815205833,0.0044018473,-0.0007782410830259323,0.1,90,0.18595712040769286,0.0005,-0.45827446177136155
162,2010,500.0,20,327680,182.04,0.12115478515625,0.8681277483701706,-0.0007451484216289828,0.0032992093,0.0010840324684977531,0.1,95,0.14315653802259476,0.0005,-0.4326899172971025
171,2007,500.0,21,344064,190.31,0.122998046875,0.8590851724147797,-0.0006969930753257358,0.003716659,0.003845029976218939,0.1,100,0.13611360605791561,0.0005,-0.4109596996800974
179,2007,500.0,22,360448,190.34,0.1073486328125,0.8551067262887955,0.000555955760046345,0.0021500853,0.03213661536574364,0.1,105,0.1488664096352295,0.0005,-0.39742557127028705
187,2006,500.0,23,376832,192.37,0.15101318359375,0.837834507226944,-0.0006406752080692968,0.0032391306,0.015886271372437477,0.1,110,0.13389888946185238,0.0005,-0.38327203448861835
196,2005,500.0,24,393216,196.25,0.14132080078125,0.8343532234430313,-7.423497754643904e-05,0.0041774716,0.007013349328190088,0.1,115,0.12028234469253221,0.0005,-0.3558980290777981
204,2002,500.0,25,409600,201.32,0.09404296875,0.8872910141944885,0.0008097578378510661,0.0023204572,0.0030016142409294844,0.1,120,0.09685913793437066,0.0005,-0.33117504729889335
212,2001,500.0,26,425984,206.43,0.09267578125,0.8929398655891418,0.0002198146245063981,0.0027096698,0.0027763666585087776,0.1,125,0.09204368447390152,0.0005,-0.31329729113494975
221,1999,500.0,27,442368,208.6,0.09267578125,0.9053321331739426,0.0003056238527278765,0.0024947594,0.05617229640483856,0.1,130,0.09165816072927555,0.0005,-0.3018008974846452
229,1999,500.0,28,458752,211.34,0.08045654296875,0.9060079902410507,0.000913673987997754,0.0019364114,-0.008162373676896095,0.1,135,0.08803459885930351,0.0005,-0.2852020142250694
237,1999,500.0,29,475136,212.44,0.0843017578125,0.9216902256011963,0.000687195404771046,0.0029391749,0.01979163847863674,0.1,140,0.08711557833048574,0.0005,-0.26353141671279445
245,1998,500.0,30,491520,213.76,0.08072509765625,0.9210856333374977,0.0009026635413647455,0.0030807322,0.03784392774105072,0.1,145,0.09062009509107156,0.0005,-0.25104904853506016
254,1997,500.0,31,507904,215.58,0.08111572265625,0.9256488382816315,0.0010822496009495809,0.0025111176,0.017444582656025887,0.1,150,0.08226953766206861,0.0005,-0.2452898803865537
262,1998,500.0,32,524288,216.94,0.08160400390625,0.9274892508983612,0.0014535265210724902,0.0020178035,0.022964179515838623,0.1,155,0.07771217674853688,0.0005,-0.24409498271998017
270,1998,500.0,33,540672,217.95,0.08399658203125,0.9152811020612717,0.001540755622954748,0.002297392,0.0008732210844755173,0.1,160,0.09407667370651325,0.0005,-0.23231396400369703
278,1997,500.0,34,557056,220.37,0.0692626953125,0.9338525831699371,0.0013567331644480872,0.0012678492,-0.0012661442160606384,0.1,165,0.07018206009634013,0.0005,-0.22330348286777735
287,1997,500.0,35,573440,220.73,0.068798828125,0.9396750554442406,0.0014012492256370024,0.0016517006,0.007264471147209406,0.1,170,0.06561605639653863,0.0005,-0.22105969393160194
295,1995,500.0,36,589824,220.03,0.07913818359375,0.9373888000845909,0.0013019868513765686,0.0021744438,0.008335581980645657,0.1,175,0.07669932063508896,0.0005,-0.22659272896125912
303,1995,500.0,37,606208,219.4,0.0924560546875,0.9365814179182053,0.0014606242546960856,0.0027564347,0.004130018875002861,0.1,180,0.07863676293454773,0.0005,-0.22767818913562224
314,1982,500.0,38,622592,219.79,0.0831298828125,0.9451328627765179,0.0014054099222448712,0.0017768143,0.008066858164966106,0.1,185,0.06278503175799414,0.0005,-0.2211577490204945
324,1966,500.0,39,638976,221.15,0.079052734375,0.9471242278814316,0.0009209854020809871,0.001890189,-0.003079808782786131,0.1,190,0.06377429493113596,0.0005,-0.2225126323173754
334,1960,500.0,40,655360,220.82,0.08179931640625,0.9436781816184521,0.0010081323513077222,0.002182397,0.01111232116818428,0.1,195,0.07676925750292866,0.0005,-0.22992190691875294
342,1958,500.0,41,671744,217.95,0.080126953125,0.938897293061018,0.0017142553883786604,0.002233695,0.0018047515768557787,0.1,200,0.08507797282472893,0.0005,-0.23009523265063764
351,1954,500.0,42,688128,216.28,0.0815673828125,0.9428452402353287,0.0012035553436362534,0.001487823,0.01150413230061531,0.1,205,0.07293097419315017,0.0005,-0.22962721875519493
360,1955,500.0,43,704512,215.33,0.08868408203125,0.9408735893666744,0.0011202853084796515,0.0023349158,-0.002137810690328479,0.1,210,0.06998722613425343,0.0005,-0.2229611254413612
