rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl
44.18,2126,500.0,107,14,229376,0.0005,65,-0.5208368560066446,0.1235983818769455,0.1,1.5127294972538947,0.9949816502630711,-0.011084322005808644,0.27669677734375,0.007983479
51.7,2125,500.0,115,15,245760,0.0005,70,-0.5084326765267179,0.1374422013759613,0.1,2.0149814734235405,0.9938656650483608,-0.005810235864191782,0.18060302734375,0.004022052
62.42,2127,500.0,123,16,262144,0.0005,75,-0.49712230397854,0.1390003263950348,0.1,1.7287511224858463,0.9954989068210125,-0.0038337103080266386,0.192431640625,0.004714931
69.31,2118,500.0,131,17,278528,0.0005,80,-0.49716495268512517,0.15798625349998474,0.1,1.7705838983412832,0.9957292908802629,-0.004143074764942867,0.16204833984375,0.0038408006
74.93,2110,500.0,139,18,294912,0.0005,85,-0.4923595126019791,0.1314336508512497,0.1,1.632170606777072,0.9961428653914481,-0.0037428396701216114,0.1733642578125,0.0038026003
85.72,2101,500.0,148,19,311296,0.0005,90,-0.48076189153362064,0.18232178688049316,0.1,1.5439322629244998,0.9961909072007984,-0.0019388501577850548,0.17047119140625,0.0042722165
100.05,2101,500.0,155,20,327680,0.0005,95,-0.4746651299996302,0.14083871245384216,0.1,1.3387499607168138,0.9970902241766453,-0.0036515465577394934,0.172314453125,0.0039716894
141.74,2097,500.0,164,21,344064,0.0005,100,-0.4739635177189484,0.09128730744123459,0.1,1.3462318527512251,0.9970827361103147,-0.004516004846846044,0.19432373046875,0.0049355957
175.46,2096,500.0,171,22,360448,0.0005,105,-0.4511908271117136,0.11245062947273254,0.1,1.19352586499881,0.9976094912271947,-0.004847246635472402,0.1923095703125,0.0049682623
211.91,2099,500.0,179,23,376832,0.0005,110,-0.4391376029700041,0.06140473484992981,0.1,1.1120470950147137,0.9977883980609477,-0.004408362880894856,0.18028564453125,0.0056700953
235.66,2099,500.0,187,24,393216,0.0005,115,-0.4402447171043605,0.09735582023859024,0.1,0.9783391662407667,0.9981214146828279,-0.00439198857120573,0.20487060546875,0.0058751456
290.65,2098,500.0,195,25,409600,0.0005,120,-0.410843359073624,0.06321253627538681,0.1,0.6865831170463934,0.9985230930615216,-0.005561187182865979,0.215478515625,0.0063377097
332.91,2099,500.0,202,26,425984,0.0005,125,-0.37773663620464504,0.023313667625188828,0.1,0.46374475612537935,0.998612878494896,-0.004728400168278313,0.1851806640625,0.005049249
393.07,2087,500.0,211,27,442368,0.0005,130,-0.3674830820644274,0.05137050151824951,0.1,0.4915655830642208,0.996230403194204,-0.0022288952091912505,0.17030029296875,0.0047135213
422.66,2081,500.0,220,28,458752,0.0005,135,-0.3264298141002655,0.026516802608966827,0.1,0.2567804371472448,0.9989918898791075,-0.0037687422631279333,0.14013671875,0.0046278625
447.22,2078,500.0,228,29,475136,0.0005,140,-0.3026823558844626,-0.0015834961086511612,0.1,0.13349848742363973,0.999396538885776,-0.0032114620686115813,0.1051513671875,0.003446925
451.13,2073,500.0,237,30,491520,0.0005,145,-0.29540675396565347,0.005995777435600758,0.1,0.2281223802448949,0.9986355538712814,0.0007597960146085824,0.1203125,0.004278779
455.24,2068,500.0,245,31,507904,0.0005,150,-0.2702450659824535,0.0025897137820720673,0.1,0.20253472130279987,0.9989335424033925,-0.001144959199882578,0.1091064453125,0.0034079975
468.34,2069,500.0,253,32,524288,0.0005,155,-0.2590735164703801,0.0001736050471663475,0.1,0.11928481365030166,0.9991999123594724,-0.001560910791522474,0.09215087890625,0.0023854207
484.57,2064,500.0,261,33,540672,0.0005,160,-0.25616065348731354,-0.006767184939235449,0.1,0.07824178495211527,0.9993630255921744,-0.001336735209224571,0.08961181640625,0.0020126724
488.35,2058,500.0,270,34,557056,0.0005,165,-0.24181067754980176,0.03436415642499924,0.1,0.07767116227041697,0.9991578180924989,-0.0002956700926006306,0.08712158203125,0.002385103
494.23,2057,500.0,278,35,573440,0.0005,170,-0.23586850416613742,0.00696792034432292,0.1,0.05475489711388946,0.9993686206871644,-0.0003738310157132219,0.08311767578125,0.002188915
495.57,2052,500.0,287,36,589824,0.0005,175,-0.2176801979308948,0.010550767183303833,0.1,0.042264290057937616,0.9991840675938874,-0.0008798266738267557,0.07291259765625,0.0018939582
498.18,2052,500.0,295,37,606208,0.0005,180,-0.22118675963720308,-0.0012004910968244076,0.1,0.07287477619101992,0.999075511994306,0.0015402613817059319,0.07135009765625,0.0018282589
498.18,2048,500.0,303,38,622592,0.0005,185,-0.21887438367703,-0.0016953444574028254,0.1,0.04635513443427044,0.9990412655752152,1.3031346861680504e-05,0.06802978515625,0.0013757006
500.0,2047,500.0,312,39,638976,0.0005,190,-0.2120949750125874,0.0001699640415608883,0.1,0.03998662301528384,0.9993172751856036,0.00021945669341221218,0.08099365234375,0.001846957
500.0,2045,500.0,320,40,655360,0.0005,195,-0.2145203202147968,-0.0017060129903256893,0.1,0.034080274771986295,0.9993824787670746,0.0006675061531495885,0.0654052734375,0.0011588426
500.0,2044,500.0,328,41,671744,0.0005,200,-0.20315643649664708,-0.0034732683561742306,0.1,0.04334218784351833,0.9993112904485315,0.000995520716151077,0.07484130859375,0.0016879248
500.0,2040,500.0,337,42,688128,0.0005,205,-0.20991328093223274,-0.003597778733819723,0.1,0.030712461614166388,0.9995075303013436,0.0009921002534611033,0.06881103515625,0.00092604756
500.0,2043,500.0,344,43,704512,0.0005,210,-0.20847649429924786,0.0012158781755715609,0.1,0.029159948859887663,0.9994540246552788,0.0009132646449870663,0.0594482421875,0.0009897347
