rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
494.61,500.0,2094,13,212992,101,0.00816915,-0.009749590419232845,0.03184518620109884,0.1999755859375,60,0.1,0.98398775793612,0.0005,-0.013025760155687748,-0.4223182876361534
498.72,500.0,2080,14,229376,110,0.00796553,-0.0007194873178377748,0.011565819671886857,0.16280517578125,65,0.1,0.9914701711386442,0.0005,-0.011510565530443273,-0.36967959788162263
500.0,500.0,2085,15,245760,117,0.009882806,-0.011373290792107582,0.007309518413421756,0.17010498046875,70,0.1,0.9940187628380954,0.0005,-0.011713237724688953,-0.3161439819727093
500.0,500.0,2088,16,262144,125,0.010519854,0.002748757367953658,0.004439092102893482,0.12430419921875,75,0.1,0.9966768380254507,0.0005,-0.00850185019280616,-0.2593495674082078
500.0,500.0,2094,17,278528,132,0.00509621,-0.0035914841573685408,0.003053753636822876,0.101171875,80,0.1,0.9979137550108135,0.0005,-0.006500127103936393,-0.24320977407041938
500.0,500.0,2098,18,294912,140,0.00311434,-0.00803796760737896,0.003115979801987123,0.0908935546875,85,0.1,0.9975051935762167,0.0005,-0.004378421500859986,-0.2255517420358956
500.0,500.0,2100,19,311296,148,0.0020712365,-0.0027841185219585896,0.0035888842337953976,0.06722412109375,90,0.1,0.9983474934706464,0.0005,-0.0020801813770049194,-0.22456322885118424
500.0,500.0,2102,20,327680,155,0.0017172131,-0.0017747217789292336,0.0030464848423434887,0.0613525390625,95,0.1,0.9989575209328905,0.0005,-0.0008393625465032528,-0.23311600991874
500.0,500.0,2106,21,344064,163,0.0012393127,0.0015895143151283264,0.0029579493623259623,0.05426025390625,100,0.1,0.9991919087478891,0.0005,-0.0005695981933968141,-0.23229619109770283
500.0,500.0,2108,22,360448,170,0.0012396211,-0.0056855278089642525,0.0036370575402543182,0.0607421875,105,0.1,0.9993089733179659,0.0005,0.00043850256352016,-0.22512912196689286
500.0,500.0,2109,23,376832,178,0.0012963621,0.0010248387698084116,0.002684169817302973,0.05994873046875,110,0.1,0.9991863574250601,0.0005,0.0007665695700779906,-0.2237577122694347
500.0,500.0,2109,24,393216,186,0.0009986882,0.0018481799634173512,0.0033090515157482513,0.0525390625,115,0.1,0.9992198799154721,0.0005,0.0006240138479824964,-0.2222573443839792
500.0,500.0,2111,25,409600,194,0.001233283,0.0016847107326611876,0.0024625405613051044,0.05543212890625,120,0.1,0.9993954387609847,0.0005,0.000926990675907291,-0.22512266275589354
500.0,500.0,2112,26,425984,201,0.001342465,-0.0022033092100173235,0.0030445226189385723,0.05928955078125,125,0.1,0.9993671844131313,0.0005,0.00045982120882399614,-0.22800751453032717
500.0,500.0,2114,27,442368,209,0.00090327905,-0.0023235282860696316,0.0041031703256749095,0.05306396484375,130,0.1,0.9992691227816977,0.0005,0.0008166533152689226,-0.2293507112597581
500.0,500.0,2116,28,458752,216,0.0013224639,0.0015167382080107927,0.0018333130815335608,0.06448974609375,135,0.1,0.998909390415065,0.0005,0.0008451459307252662,-0.22229079527314752
500.0,500.0,2118,29,475136,224,0.0009138597,-0.003093751147389412,0.002563675381293251,0.05882568359375,140,0.1,0.9994308339082636,0.0005,0.0012229516398292617,-0.22094281973550095
500.0,500.0,2111,30,491520,232,0.0013383421,-0.0023443440441042185,0.002913963532796515,0.0614013671875,145,0.1,0.9993812449974939,0.0005,0.0009731465243021375,-0.22250258963322267
500.0,500.0,2106,31,507904,241,0.0012442346,-0.00020956469234079123,0.0027645782160902856,0.068701171875,150,0.1,0.9995118707884103,0.0005,0.001310550418565981,-0.22259143813280388
