rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss
168.48,1906,146,278528,500.0,17,-0.0002755857341981027,0.07158945331830183,0.9955877335742116,80,0.1450439453125,0.018726065754890442,0.0005,0.1,0.0034571285,-0.4573216516058892
172.69,1899,155,294912,500.0,18,-0.00013286771991261048,0.08250191832776181,0.9934698240831494,85,0.132958984375,0.008277920074760914,0.0005,0.1,0.0041256184,-0.44511061110533773
172.37,1904,163,311296,500.0,19,0.00026199182866548654,0.06334614960651379,0.9946810980327427,90,0.12275390625,0.0007199265528470278,0.0005,0.1,0.0031344043,-0.427133713895455
175.25,1899,172,327680,500.0,20,-0.00020515901005637715,0.06824089604451729,0.994522063061595,95,0.12213134765625,0.012447470799088478,0.0005,0.1,0.0031148293,-0.4114689361304045
176.9,1883,182,344064,500.0,21,0.000556509947818995,0.05510124880020158,0.994226694572717,100,0.12406005859375,0.003888471983373165,0.0005,0.1,0.0036820045,-0.3919833531137556
177.17,1872,192,360448,500.0,22,0.0008927660433982965,0.050662017825015934,0.9938777592033148,105,0.10235595703125,0.0026870551519095898,0.0005,0.1,0.0021387425,-0.3829314306844026
177.55,1877,200,376832,500.0,23,0.0004681952985265525,0.04409498177410569,0.9956891182810068,110,0.1020751953125,-0.0007450331468135118,0.0005,0.1,0.0027785196,-0.3600884521147236
176.39,1884,208,393216,500.0,24,0.0006661095871095313,0.04704573979142879,0.9949517524801195,115,0.10419921875,0.011141386814415455,0.0005,0.1,0.00333519,-0.33553889028262346
175.9,1887,216,409600,500.0,25,0.0010336512625144679,0.03959680977059179,0.9953655847348273,120,0.09951171875,0.0015946761704981327,0.0005,0.1,0.0028833626,-0.3132918664487079
174.86,1895,224,425984,500.0,26,0.0011221840724829236,0.03927854524263239,0.9952523736283183,125,0.08333740234375,0.016357026994228363,0.0005,0.1,0.0019251531,-0.2985402028774843
176.25,1902,232,442368,500.0,27,0.0011257919375566416,0.03717333853292075,0.9958443227224052,130,0.09051513671875,0.0006160704651847482,0.0005,0.1,0.0020549002,-0.2872800423298031
178.45,1910,240,458752,500.0,28,0.0019645751784992172,0.0585551073156239,0.9906454281881452,135,0.11702880859375,0.00754308607429266,0.0005,0.1,0.0047440263,-0.28090604770695793
179.64,1920,247,475136,500.0,29,0.0008939696606830693,0.031527240806099144,0.9958579023368657,140,0.079296875,0.011695437133312225,0.0005,0.1,0.0019526845,-0.261719387571793
179.44,1927,254,491520,500.0,30,0.001611160286120139,0.05931768594273308,0.9910058695822954,145,0.10904541015625,0.012187037616968155,0.0005,0.1,0.0050600218,-0.25273635938065125
180.51,1937,262,507904,500.0,31,0.001410206470882258,0.03527441528513009,0.9947724444791675,150,0.0840087890625,-0.004252132494002581,0.0005,0.1,0.002319242,-0.23442416484467685
