time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate
15,103,245760,31.45,2373,500.0,0.2287841796875,0.9645479507744312,0.1,70,-0.5476783141493797,0.45633524656295776,0.0037876377,0.0016093890499178087,3.8166099267546088,0.0005
16,111,262144,27.52,2346,500.0,0.2129150390625,0.9686586484313011,0.1,75,-0.5444267332553864,0.4923478066921234,0.0063937386,0.0013698281826691528,4.623181105358526,0.0005
17,119,278528,25.42,2321,500.0,0.21024169921875,0.966338112950325,0.1,80,-0.5304946046322584,1.450843095779419,0.0048301034,0.001858138484567462,5.472416871169116,0.0005
18,128,294912,24.29,2287,500.0,0.2182861328125,0.9602680839598179,0.1,85,-0.5388756670989097,0.3244275152683258,0.0051787607,0.0008212120063944894,4.678719432617072,0.0005
19,136,311296,22.87,2282,500.0,0.1779541015625,0.946727093309164,0.1,90,-0.5175859462004155,0.3062148094177246,0.0056386506,0.0005682270861598227,4.7972658955142835,0.0005
20,143,327680,22.7,2278,500.0,0.17294921875,0.9519557617604733,0.1,95,-0.5128606916638091,1.1620396375656128,0.0035570925,0.0013861481897038176,5.371323594590649,0.0005
21,151,344064,23.31,2267,500.0,0.237451171875,0.9654041267931461,0.1,100,-0.5316808140370994,0.8265442848205566,0.009683837,0.0016141087588039226,3.689879963448038,0.0005
22,159,360448,22.29,2261,500.0,0.19776611328125,0.9458275735378265,0.1,105,-0.5264272595057264,1.0195274353027344,0.0054278653,0.0001185649754916085,5.20311177498661,0.0005
23,166,376832,21.42,2263,500.0,0.15181884765625,0.9017193019390106,0.1,110,-0.48379484449978916,1.8126094341278076,0.0033550512,0.001792514519956967,9.242684495693538,0.0005
24,173,393216,20.14,2267,500.0,0.21328125,0.9429588876664639,0.1,115,-0.47182345737237485,0.20416104793548584,0.005713364,0.003106240220313339,5.546385397436097,0.0005
25,180,409600,19.93,2269,500.0,0.16656494140625,0.9116572216153145,0.1,120,-0.44274991103447975,0.6297627091407776,0.0065948116,0.001912653515501006,8.429805775370914,0.0005
26,187,425984,19.65,2268,500.0,0.2364013671875,0.9523214064538479,0.1,125,-0.48762165785301476,0.4011339843273163,0.0048121056,0.0032166242837774915,5.444383150030626,0.0005
27,194,442368,19.55,2270,500.0,0.17987060546875,0.939533893018961,0.1,130,-0.4491918841609731,0.4105225205421448,0.013873123,0.0014766568241611822,6.4334876773064025,0.0005
28,201,458752,19.39,2273,500.0,0.24256591796875,0.9497656933963299,0.1,135,-0.47292577440384775,0.9467539191246033,0.007307669,0.0023826373642805267,4.274790426495019,0.0005
29,208,475136,19.24,2275,500.0,0.22843017578125,0.947127565741539,0.1,140,-0.4696502410341054,0.8299992680549622,0.0073816963,0.0011038223319701501,4.256538611941505,0.0005
30,215,491520,18.58,2279,500.0,0.21834716796875,0.9433960728347301,0.1,145,-0.4769545917864889,0.0530267134308815,0.004919057,0.0028856081086360065,5.08460193038336,0.0005
31,222,507904,17.71,2281,500.0,0.22939453125,0.9392139129340649,0.1,150,-0.4905523389345035,0.11937911808490753,0.008167619,0.002806039775168756,3.2336052794882564,0.0005
32,229,524288,16.33,2284,500.0,0.236865234375,0.9618100710213184,0.1,155,-0.49736689147539437,0.31426388025283813,0.00580113,0.003177076137217227,3.1360203095304313,0.0005
33,236,540672,15.9,2286,500.0,0.17672119140625,0.9407924264669418,0.1,160,-0.48540010361466557,0.5265505909919739,0.0034830575,0.0008261478455096949,4.445990147744306,0.0005
34,243,557056,15.01,2288,500.0,0.1666259765625,0.9533359073102474,0.1,165,-0.4750787015538663,0.8152045011520386,0.005698679,0.0013244998412574205,2.968347881583031,0.0005
35,250,573440,15.07,2287,500.0,0.19019775390625,0.9546001777052879,0.1,170,-0.47542707617394625,0.03613509610295296,0.004582326,0.0017219560229023046,2.49833101122058,0.0005
